,Administration and Management,Biology,Chemistry,Clerical,Communications and Media,Computers and Electronics,Customer and Personal Service,Design,Economics and Accounting,Education and Training,Engineering and Technology,English Language,Fine Arts,Geography,Law and Government,Mathematics_x,Mechanical,Personnel and Human Resources,Physics,Production and Processing,Psychology,Public Safety and Security,Sales and Marketing,Telecommunications,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics_y,Monitoring,Negotiation,Operation and Control,Operation Monitoring,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,Title
10,3.12,1.0,1.17,2.91,2.99,4.96,3.45,2.63,1.78,2.95,3.4,3.31,1.05,1.35,1.9,2.45,2.18,1.96,1.27,2.61,1.85,2.51,1.34,3.79,3.25,3.5,3.25,2.75,3.75,2.62,2.5,2.62,3.38,2.62,1.5,2.0,2.25,2.12,3.25,2.25,2.0,3.0,1.88,2.25,2.25,2.88,3.38,2.88,1.88,2.5,2.88,3.25,3.12,3.0,2.12,3.0,3.12,3.0,Computer Network Support Specialists
11,2.21,2.25,1.6,1.72,1.84,3.63,1.94,1.63,1.78,2.9,1.63,3.74,1.1,1.84,1.75,4.65,1.05,1.84,1.65,1.32,2.1,1.35,1.44,1.2,3.62,3.88,3.88,2.88,4.12,1.0,1.0,2.88,3.25,3.0,1.75,1.75,2.25,4.75,2.88,1.88,1.25,1.5,2.75,2.62,3.0,1.75,4.0,1.0,3.5,2.38,2.75,3.75,3.0,3.0,1.75,3.0,1.0,3.5,Statisticians
12,2.76,1.29,1.14,2.62,3.57,4.57,1.95,4.38,1.43,2.0,2.95,3.95,2.95,2.05,1.48,3.05,1.29,2.1,2.14,1.95,3.14,1.14,2.19,1.9,3.5,3.75,3.62,3.38,3.62,1.0,1.25,2.88,3.5,3.0,1.88,1.88,2.88,2.62,3.25,2.88,1.0,2.5,3.0,3.12,4.0,1.88,3.62,1.0,1.25,2.62,3.12,3.38,3.38,3.25,2.88,3.5,1.25,3.25,Video Game Designers
13,3.1,1.3,1.75,1.74,2.15,3.7,2.2,2.4,2.85,2.53,3.37,3.89,1.0,1.8,1.85,4.7,1.3,1.85,2.3,2.75,1.9,1.63,2.3,1.9,3.88,4.0,4.12,3.0,4.12,1.0,1.12,3.0,4.0,3.0,1.75,1.75,2.38,4.5,2.88,2.25,1.0,1.5,3.62,2.75,2.5,1.88,4.0,1.0,3.12,2.75,2.88,3.88,3.88,4.0,1.88,3.0,1.38,4.0,Operations Research Analysts
14,2.77,1.12,1.15,2.92,4.27,3.85,3.62,4.35,2.19,2.12,2.04,4.19,3.92,2.12,1.69,2.54,1.27,2.0,1.23,2.65,2.54,1.31,3.31,1.88,3.12,3.62,3.0,3.0,3.38,1.0,1.25,2.62,3.12,2.62,1.88,1.88,2.38,2.0,3.0,2.88,1.25,1.88,3.12,2.88,1.62,2.0,3.25,1.0,1.25,2.88,3.12,3.38,2.75,2.5,2.0,3.12,1.0,3.0,Graphic Designers
15,2.97,1.13,1.35,3.13,2.78,4.92,3.63,2.79,2.07,2.82,3.6,3.83,1.08,1.63,2.13,3.19,2.34,2.19,1.61,2.26,1.68,2.48,1.69,3.21,3.12,3.75,3.75,3.0,3.88,3.0,2.88,2.88,3.88,2.75,2.0,2.75,3.0,3.0,3.75,2.5,3.0,3.38,3.12,2.75,3.62,3.25,3.88,3.0,2.25,3.0,3.0,3.38,3.88,3.75,2.75,3.12,3.75,3.12,Network and Computer Systems Administrators
16,3.3,1.9,1.85,2.59,2.28,4.57,2.71,3.27,2.17,2.66,3.95,3.89,1.32,1.85,2.01,4.06,2.07,2.46,2.84,2.47,2.39,2.41,2.71,3.09,3.5,3.75,4.0,3.0,4.0,1.12,1.88,3.0,4.0,3.0,2.5,2.25,2.88,3.38,3.12,2.5,2.0,2.62,3.12,2.75,3.62,2.38,3.75,1.12,3.12,2.75,3.0,3.5,3.75,3.62,3.12,3.38,2.38,3.38,Computer and Information Research Scientists
17,2.97,1.76,2.41,3.01,2.49,3.9,2.96,4.71,2.17,2.79,4.7,3.57,1.89,1.65,2.11,3.72,4.04,2.44,3.1,4.04,1.84,2.35,3.03,1.74,3.0,4.0,3.75,3.12,3.75,1.0,1.88,2.75,3.25,2.75,2.0,2.0,2.75,2.75,3.12,2.88,2.0,2.38,3.25,3.12,1.88,2.75,3.88,1.0,2.62,2.88,3.12,3.5,3.0,3.0,3.12,3.25,1.75,3.12,Commercial and Industrial Designers
18,2.95,1.02,1.24,2.99,2.99,4.46,2.75,2.31,2.06,2.93,2.58,3.31,1.0,1.79,2.56,3.12,1.85,1.93,1.32,2.5,2.66,2.85,1.55,3.25,3.5,3.5,3.62,3.12,3.88,1.0,1.88,3.0,3.5,3.0,2.0,2.0,2.75,3.12,3.38,2.12,1.88,3.12,3.12,2.62,3.38,3.0,3.5,1.25,2.0,2.75,2.75,3.38,3.38,3.38,2.38,3.0,2.88,3.38,Database Administrators
19,2.95,1.05,1.29,1.95,2.36,4.67,2.73,3.67,2.05,2.82,4.14,4.0,1.0,1.73,2.59,3.55,1.95,1.95,2.67,2.0,1.91,2.95,1.76,4.41,3.25,3.88,3.88,3.5,4.0,2.25,2.5,3.0,3.75,2.88,2.38,2.38,2.75,3.25,3.25,3.0,2.5,3.0,2.75,3.12,3.5,3.12,3.88,2.0,2.12,2.88,3.12,3.75,3.62,3.62,3.12,3.25,2.88,3.62,Computer Network Architects
20,2.44,2.7,3.34,2.91,2.68,3.15,2.92,1.99,1.43,2.9,2.99,3.58,1.0,2.25,4.41,2.93,2.52,2.18,2.5,1.85,2.7,3.97,1.25,2.85,3.25,3.88,3.75,2.88,3.88,2.25,2.38,2.88,3.25,3.0,1.88,1.88,2.88,2.75,3.12,2.38,2.75,2.88,1.88,2.88,1.75,2.5,3.88,2.12,3.38,2.75,3.12,3.88,3.0,2.88,1.75,3.12,2.38,3.88,Forensic Science Technicians
21,3.77,1.47,1.7,3.5,3.37,4.8,4.05,3.5,3.05,4.77,3.82,4.18,1.67,2.13,3.02,3.88,1.91,3.3,2.49,2.46,2.85,3.49,2.65,3.3,3.88,3.88,3.75,3.0,3.88,1.38,1.5,4.12,3.88,3.88,2.0,2.0,2.75,3.12,3.75,3.0,1.62,2.12,2.25,3.0,3.0,2.0,4.0,1.0,2.75,3.12,3.62,4.0,3.38,3.25,2.0,3.12,1.38,4.0,"Computer Science Teachers, Postsecondary"
22,2.38,1.88,2.12,1.79,2.21,3.96,2.38,2.42,2.17,2.96,3.5,3.83,1.21,1.58,2.0,4.79,1.38,1.88,3.25,1.83,1.88,1.83,1.75,2.29,3.75,3.38,4.0,2.88,4.0,1.0,1.0,2.88,3.25,3.25,1.62,1.62,2.5,5.0,2.88,2.12,1.0,1.5,2.5,2.62,2.5,1.38,4.0,1.0,3.25,2.12,2.75,3.25,3.25,3.12,1.62,2.75,1.0,3.38,Mathematicians
23,3.2,1.2,1.15,2.68,4.1,4.15,3.55,3.15,1.9,2.9,3.2,4.1,1.6,1.75,2.47,2.65,1.45,2.26,1.25,2.25,1.95,2.3,3.0,2.7,3.12,3.75,3.75,3.0,4.0,1.12,1.75,3.0,3.38,3.0,2.0,1.88,2.62,2.12,3.38,2.5,1.75,2.38,2.75,2.5,3.12,3.12,3.88,1.12,2.12,2.88,2.88,3.25,3.25,3.38,2.38,3.0,2.5,3.25,Web Administrators
24,2.77,1.87,2.6,2.5,2.17,4.45,2.83,4.63,2.13,3.3,4.79,4.0,1.13,1.4,2.13,4.2,4.21,2.1,3.93,3.7,1.67,2.93,2.27,2.83,3.75,3.88,3.88,3.38,4.0,3.38,3.12,3.0,3.88,3.38,2.62,2.12,3.12,3.75,3.88,2.88,2.88,3.62,3.25,3.0,3.12,3.62,3.88,2.88,3.12,2.38,3.0,3.25,3.88,3.38,3.38,3.62,3.62,3.75,Robotics Engineers
25,2.75,1.02,1.14,2.48,2.44,4.79,4.33,1.52,1.38,2.9,3.07,3.9,1.01,1.11,1.69,1.95,2.06,2.08,1.28,1.76,2.33,3.04,1.17,3.62,3.12,4.0,3.75,2.88,3.75,2.38,2.0,3.0,3.38,2.88,1.75,1.88,2.62,2.25,3.0,2.62,2.62,2.88,2.62,2.62,2.12,2.75,4.0,2.38,1.75,3.0,2.88,4.0,3.12,2.88,2.0,3.0,2.88,3.62,Computer User Support Specialists
26,2.52,4.83,3.56,3.08,2.65,4.61,2.14,2.37,1.66,3.3,2.91,4.22,1.5,1.52,2.11,4.33,1.69,2.61,2.61,1.77,1.66,1.67,1.88,2.19,3.62,4.0,4.0,3.0,4.12,1.0,1.5,3.0,3.62,3.0,2.0,2.12,2.88,3.5,3.38,2.75,1.25,2.25,2.25,2.88,2.12,2.12,4.12,1.0,3.75,2.88,3.25,4.0,3.25,3.25,2.25,3.38,2.0,3.88,Bioinformatics Scientists
27,3.2,1.17,1.37,2.28,2.7,4.73,3.1,3.47,2.17,2.86,4.0,3.93,1.13,1.53,2.37,3.87,1.52,2.48,1.8,2.57,2.33,2.21,1.83,3.3,3.75,4.0,3.88,3.12,4.12,1.5,1.5,3.12,3.38,3.0,2.38,2.12,3.0,3.12,3.5,3.0,1.5,2.88,3.75,3.0,3.38,3.0,4.12,1.5,3.12,3.0,3.0,3.75,3.88,4.0,2.38,3.25,2.5,3.88,Computer Systems Engineers/Architects
28,3.05,1.33,1.29,2.71,2.71,3.05,2.67,1.62,2.9,2.29,2.33,4.05,1.0,1.76,2.19,3.33,1.19,1.76,1.05,1.86,1.62,1.38,2.86,1.81,3.75,3.88,3.5,3.0,4.0,1.12,1.25,2.88,3.62,3.0,2.0,1.75,2.25,3.38,3.12,2.62,1.38,1.88,2.0,3.0,2.62,1.75,4.0,1.0,1.75,2.88,2.88,3.88,3.38,3.25,1.88,3.25,1.12,3.75,Business Intelligence Analysts
29,2.38,1.08,1.0,2.38,3.21,4.38,2.96,2.96,1.75,2.25,2.58,3.54,2.04,1.42,1.79,3.35,1.08,1.54,1.29,1.75,1.92,1.96,2.25,2.46,3.5,3.5,3.62,3.0,3.75,1.0,2.0,2.75,3.38,2.88,1.75,1.75,2.38,2.75,3.0,2.75,1.62,2.25,3.62,2.88,4.12,2.75,3.62,1.0,2.0,2.88,2.88,3.25,3.12,3.0,2.5,3.0,2.12,3.12,Web Developers
30,3.68,1.04,1.23,2.69,2.8,4.35,3.42,2.4,2.29,3.19,3.64,4.26,1.02,1.59,2.7,2.87,1.68,2.44,1.37,2.41,2.09,3.27,1.51,3.64,3.25,3.75,3.75,3.0,3.88,1.62,1.75,2.88,3.38,2.88,1.75,1.75,2.88,2.25,3.38,2.62,1.75,3.0,2.5,2.62,2.62,3.0,4.0,1.62,1.88,2.88,2.75,3.62,3.38,3.0,2.12,3.12,2.12,3.5,Information Security Analysts
